,date,sp_close,dj_close
606,2017-08-29,2471.65,21865.37
607,2017-08-30,2476.55,21892.43
608,2017-08-31,2457.85,21948.1
609,2017-09-01,2465.54,21987.56
610,2017-09-02,2465.54,21987.56
611,2017-09-03,2465.54,21987.56
612,2017-09-04,2465.54,21987.56
613,2017-09-05,2465.1,21753.31
614,2017-09-06,2461.43,21807.64
615,2017-09-07,2488.11,21784.78
616,2017-09-08,2496.48,21797.79
617,2017-09-09,2496.48,21797.79
618,2017-09-10,2496.48,21797.79
619,2017-09-11,2498.37,22057.37
620,2017-09-12,2495.62,22118.86
621,2017-09-13,2500.23,22158.18
622,2017-09-14,2503.87,22203.48
623,2017-09-15,2506.65,22268.34
624,2017-09-16,2506.65,22268.34
625,2017-09-17,2506.65,22268.34
626,2017-09-18,2508.24,22331.35
627,2017-09-19,2500.6,22370.8
628,2017-09-20,2502.22,22412.59
629,2017-09-21,2496.66,22359.23
630,2017-09-22,2496.84,22349.59
631,2017-09-23,2496.84,22349.59
632,2017-09-24,2496.84,22349.59
633,2017-09-25,2507.04,22296.09
634,2017-09-26,2510.06,22284.32
635,2017-09-27,2519.36,22340.71
636,2017-09-28,2529.12,22381.2
637,2017-09-29,2534.58,22405.09
638,2017-09-30,2534.58,22405.09
639,2017-10-01,2534.58,22405.09
640,2017-10-02,2537.74,22557.6
641,2017-10-03,2552.07,22641.67
642,2017-10-04,2549.33,22661.64
643,2017-10-05,2544.73,22775.39
644,2017-10-06,2550.64,22773.67
645,2017-10-07,2550.64,22773.67
646,2017-10-08,2550.64,22773.67
647,2017-10-09,2555.24,22761.07
648,2017-10-10,2550.93,22830.68
649,2017-10-11,2553.17,22872.89
650,2017-10-12,2557.64,22841.01
651,2017-10-13,2559.36,22871.72
652,2017-10-14,2559.36,22871.72
653,2017-10-15,2559.36,22871.72
654,2017-10-16,2561.26,22956.96
655,2017-10-17,2562.1,22997.44
656,2017-10-18,2575.21,23157.6
657,2017-10-19,2564.98,23163.04
658,2017-10-20,2569.13,23328.63
659,2017-10-21,2569.13,23328.63
660,2017-10-22,2569.13,23328.63
661,2017-10-23,2557.15,23273.96
662,2017-10-24,2560.4,23441.76
663,2017-10-25,2581.07,23329.46
664,2017-10-26,2572.83,23400.86
665,2017-10-27,2575.26,23434.19
666,2017-10-28,2575.26,23434.19
667,2017-10-29,2575.26,23434.19
668,2017-10-30,2579.36,23348.74
669,2017-10-31,2579.85,23377.24
670,2017-11-01,2587.84,23435.01
671,2017-11-02,2591.13,23516.26
672,2017-11-03,2590.64,23539.19
673,2017-11-04,2590.64,23539.19
674,2017-11-05,2590.64,23539.19
675,2017-11-06,2594.38,23548.42
676,2017-11-07,2584.62,23557.23
